,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
ITOT,3.035030619982706e-07,4.746202800601869e-08,1.3215463745653116e-07,9.080795836827088e-08,8.060449349680436e-08,-6.377582767321278e-08,-1.2799540605470313e-07,-9.810283084563036e-08,5.7603897007824455e-08,3.9181593988545755e-07,-1.0058402402027973e-08,-3.506302415969342e-08,3.383582243271186e-08,8.207933021702824e-07,-5.986193713558106e-08,3.689916619673634e-07,2.5621096880535226e-07,1.3935922638282628e-06
DIA,4.746202800601869e-08,3.484212261427561e-06,2.037909088074113e-07,6.684907259896343e-07,1.932225690664804e-07,-1.7865517137311806e-07,-2.5711656079913226e-07,-1.6069508892951224e-06,1.2559197480358208e-06,4.896315424358054e-07,2.1783362107319256e-06,4.3641981061309466e-07,-3.261790790401871e-07,-1.2566961809170164e-06,-8.919331406917519e-07,-1.76616229992253e-08,-2.7435588920139705e-08,-4.936321060608931e-07
SPY,1.3215463745653116e-07,2.037909088074113e-07,2.5749301298637863e-07,2.2540977167063145e-07,9.657538638834931e-08,-7.215743214107034e-08,-1.9875172017270565e-07,-8.933376926616204e-08,8.039098484564522e-08,6.537485012545524e-07,-1.4431526661377299e-08,8.125430005128883e-08,8.0366886127881e-08,9.271684638805474e-07,-5.137948283439389e-08,2.8369874891765135e-07,8.453949515252755e-08,1.0711546732277555e-06
XLG,9.080795836827088e-08,6.684907259896343e-07,2.2540977167063145e-07,2.3423198325368875e-06,1.8688192049928775e-07,-1.0578938241228748e-07,-4.628297980473959e-07,-3.4681056339007916e-07,-9.11539735673266e-08,1.4812976317156399e-07,-1.03140313938201e-06,-1.2523441322916875e-06,1.7729003862359926e-06,-1.2132728581704155e-06,-7.199311350398401e-07,-6.296445974748866e-07,-4.94135978011825e-07,-6.782033638608624e-07
AIA,8.060449349680436e-08,1.932225690664804e-07,9.657538638834931e-08,1.8688192049928775e-07,5.246077411496448e-05,5.3724420875414e-05,4.0907496063260686e-07,4.910956108566773e-06,-2.0409031986729823e-06,-2.812446348551043e-06,6.752542217098987e-07,4.3708249095514966e-06,2.5671624064522025e-06,-2.358495931961667e-06,1.747910782147575e-05,8.191356821725634e-06,1.0489353043100568e-05,1.0677148946877372e-06
GXC,-6.377582767321278e-08,-1.7865517137311806e-07,-7.215743214107034e-08,-1.0578938241228748e-07,5.3724420875414e-05,8.362021954882575e-05,1.338070336329467e-06,4.211570676152855e-06,-1.7423248798593634e-06,-4.1887330694841545e-06,6.305818821353154e-07,5.060211685059903e-06,3.587178306311439e-06,-7.398633809335809e-06,2.463924667759882e-05,8.324091847832647e-06,1.1457219251730389e-05,8.195980159115572e-08
XLY,-1.2799540605470313e-07,-2.5711656079913226e-07,-1.9875172017270565e-07,-4.628297980473959e-07,4.0907496063260686e-07,1.338070336329467e-06,1.0228135796791795e-05,-1.2148480266775822e-06,4.3203594072866135e-07,-3.2616932910444772e-06,-1.3238470318779253e-06,-1.1196046632386936e-06,-1.5755537983989054e-06,-4.621294363589927e-06,-1.0692422487642211e-07,-1.8447469123864692e-06,-5.499983746579778e-08,-8.794102654722894e-07
XLE,-9.810283084563036e-08,-1.6069508892951224e-06,-8.933376926616204e-08,-3.4681056339007916e-07,4.910956108566773e-06,4.211570676152855e-06,-1.2148480266775822e-06,5.214396516575751e-05,-1.3572587341570084e-05,-5.1453322880223175e-06,-1.836910908772468e-06,5.944812487670151e-06,-8.839441362871697e-07,-1.0951887608925373e-06,6.338604371453931e-06,1.6709411502408095e-06,1.9306491790816726e-06,-3.4749035418883444e-06
XLF,5.7603897007824455e-08,1.2559197480358208e-06,8.039098484564522e-08,-9.11539735673266e-08,-2.0409031986729823e-06,-1.7423248798593634e-06,4.3203594072866135e-07,-1.3572587341570084e-05,1.0535745333867895e-05,1.9079669476434463e-06,7.897217671002762e-07,-2.805473915747216e-06,-2.1549881239383426e-06,-5.391930077717229e-06,-2.830809394373596e-06,-1.9556239558532584e-06,-7.490269291971701e-07,-7.358578185599235e-07
XLV,3.9181593988545755e-07,4.896315424358054e-07,6.537485012545524e-07,1.4812976317156399e-07,-2.812446348551043e-06,-4.1887330694841545e-06,-3.2616932910444772e-06,-5.1453322880223175e-06,1.9079669476434463e-06,1.9112799272630356e-05,-1.848202981897635e-06,-2.4297828685079124e-06,-5.936748122495989e-06,2.427296850382956e-06,-1.4334496768059416e-06,-7.886945720428119e-07,-1.4664137935062134e-06,1.3524669071281481e-06
XLI,-1.0058402402027973e-08,2.1783362107319256e-06,-1.4431526661377299e-08,-1.03140313938201e-06,6.752542217098987e-07,6.305818821353154e-07,-1.3238470318779253e-06,-1.836910908772468e-06,7.897217671002762e-07,-1.848202981897635e-06,1.2115871393429036e-05,3.551996456373868e-06,-1.3750018310458441e-06,-3.0437521156265202e-06,1.139055234077157e-06,2.2335862295996646e-06,1.556022542232775e-06,-2.131134218681398e-06
XLB,-3.506302415969342e-08,4.3641981061309466e-07,8.125430005128883e-08,-1.2523441322916875e-06,4.3708249095514966e-06,5.060211685059903e-06,-1.1196046632386936e-06,5.944812487670151e-06,-2.805473915747216e-06,-2.4297828685079124e-06,3.551996456373868e-06,2.150828020546215e-05,-5.29198676723686e-07,-2.4831143395385825e-06,4.7070941002713466e-06,3.3578606725854392e-06,6.294541011456346e-06,-9.694475835551392e-07
XLK,3.383582243271186e-08,-3.261790790401871e-07,8.0366886127881e-08,1.7729003862359926e-06,2.5671624064522025e-06,3.587178306311439e-06,-1.5755537983989054e-06,-8.839441362871697e-07,-2.1549881239383426e-06,-5.936748122495989e-06,-1.3750018310458441e-06,-5.29198676723686e-07,9.747592377254291e-06,-3.946812549263342e-06,-7.024274794838378e-07,-1.02854252664422e-06,2.487268251347144e-07,-2.719194026116724e-06
XLU,8.207933021702824e-07,-1.2566961809170164e-06,9.271684638805474e-07,-1.2132728581704155e-06,-2.358495931961667e-06,-7.398633809335809e-06,-4.621294363589927e-06,-1.0951887608925373e-06,-5.391930077717229e-06,2.427296850382956e-06,-3.0437521156265202e-06,-2.4831143395385825e-06,-3.946812549263342e-06,5.783560471543203e-05,3.4079512977902166e-06,1.058846290147906e-05,9.57702748224515e-07,2.4073206743178544e-05
ICLN,-5.986193713558106e-08,-8.919331406917519e-07,-5.137948283439389e-08,-7.199311350398401e-07,1.747910782147575e-05,2.463924667759882e-05,-1.0692422487642211e-07,6.338604371453931e-06,-2.830809394373596e-06,-1.4334496768059416e-06,1.139055234077157e-06,4.7070941002713466e-06,-7.024274794838378e-07,3.4079512977902166e-06,6.80101991729413e-05,1.0594997561958614e-05,8.57819294178057e-06,3.7586781148719096e-06
CGW,3.689916619673634e-07,-1.76616229992253e-08,2.8369874891765135e-07,-6.296445974748866e-07,8.191356821725634e-06,8.324091847832647e-06,-1.8447469123864692e-06,1.6709411502408095e-06,-1.9556239558532584e-06,-7.886945720428119e-07,2.2335862295996646e-06,3.3578606725854392e-06,-1.02854252664422e-06,1.058846290147906e-05,1.0594997561958614e-05,1.7638804362096955e-05,7.533755907899453e-06,6.762644146308102e-06
WOOD,2.5621096880535226e-07,-2.7435588920139705e-08,8.453949515252755e-08,-4.94135978011825e-07,1.0489353043100568e-05,1.1457219251730389e-05,-5.499983746579778e-08,1.9306491790816726e-06,-7.490269291971701e-07,-1.4664137935062134e-06,1.556022542232775e-06,6.294541011456346e-06,2.487268251347144e-07,9.57702748224515e-07,8.57819294178057e-06,7.533755907899453e-06,3.6294312561395225e-05,4.762218171231589e-06
IYR,1.3935922638282628e-06,-4.936321060608931e-07,1.0711546732277555e-06,-6.782033638608624e-07,1.0677148946877372e-06,8.195980159115572e-08,-8.794102654722894e-07,-3.4749035418883444e-06,-7.358578185599235e-07,1.3524669071281481e-06,-2.131134218681398e-06,-9.694475835551392e-07,-2.719194026116724e-06,2.4073206743178544e-05,3.7586781148719096e-06,6.762644146308102e-06,4.762218171231589e-06,3.7928886827265215e-05
