,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
ITOT,0.0091870457702256,0.008724446934220333,0.00900201389146308,0.008905026164341667,0.008885235439116299,0.010587052930558845,0.00934320584023728,0.009584489670692755,0.009883113663156643,0.008701806503155593,0.009566044047854315,0.009568917065532484,0.010682522466777715,0.0033111807635013467,0.009181207497663326,0.007350896736522139,0.00825113916659043,0.005485599712595675
DIA,0.008724446934220333,0.009062715636522837,0.008736107646633944,0.008733951281271357,0.008563438225208522,0.010030639813891896,0.008844719277697173,0.009206279532029377,0.009885532154760986,0.008223341997503276,0.009575446134164736,0.009355991301232047,0.010064853135369447,0.0031021572291035668,0.008475895327126191,0.007067528429585988,0.00786322135178341,0.0050087590691542585
SPY,0.00900201389146308,0.008736107646633944,0.00899500915296467,0.008937579334961625,0.00884715072472465,0.010516845943799001,0.009174319058268062,0.009514691754882376,0.009805409948526694,0.008635041217182818,0.009377507170452474,0.00936819897193686,0.010546708118710089,0.0033672571888421618,0.009041557178944237,0.007260472534895244,0.008080386607807294,0.005377832633658512
XLG,0.008905026164341669,0.008733951281271355,0.008937579334961625,0.009289340648894692,0.008751038096291481,0.010404187697389879,0.009102300695524191,0.009099093635781675,0.0095796762478009,0.008574391033313682,0.009045691982162589,0.008875699211704873,0.010923176752772696,0.0030603424647482713,0.008715941936060083,0.006951086166111641,0.007692122687862091,0.0049977787303869614
AIA,0.008885235439116299,0.008563438225208523,0.008847150724724652,0.00875103809629148,0.01658969142949412,0.018675334950309805,0.009291813535860706,0.010160193595025596,0.009339552814914847,0.007687151392265748,0.00938128399621811,0.009951057135192887,0.010832361174662308,0.00278506423545259,0.012339117184115598,0.008505818519043388,0.009534399562673223,0.005157232836830562
GXC,0.010587052930558845,0.010030639813891896,0.010516845943799001,0.010404187697389879,0.0186753349503098,0.026182567280500068,0.011135861005774678,0.011791687138661326,0.011225750020019343,0.00934642989115363,0.011050294285400686,0.011749366575227044,0.013102977057204415,0.0025156695898188686,0.015426415462609205,0.009848023323764441,0.011055475874118155,0.005802679107719473
XLY,0.00934320584023728,0.008844719277697172,0.009174319058268064,0.009102300695524188,0.009291813535860704,0.011135861005774676,0.01147287965663809,0.008910065749382448,0.009674664035365774,0.008418693006657626,0.009539620644514319,0.009353944156523216,0.01099912091989744,0.002787139249150059,0.00932806076639802,0.00721202235751382,0.008363324079686367,0.005539565812061592
XLE,0.009584489670692755,0.009206279532029371,0.009514691754882374,0.009099093635781671,0.010160193595025591,0.011791687138661324,0.008910065749382448,0.021935683218858075,0.01019093660245445,0.007581687349618895,0.010296281025287521,0.012116457565750029,0.009559125073589116,0.002849900760906219,0.011559988399822098,0.008410960595055235,0.009606913163083399,0.004663929800507001
XLF,0.009883113663156643,0.009885532154760988,0.009805409948526692,0.009579676247800895,0.009339552814914843,0.011225750020019345,0.00967466403536577,0.010190936602454452,0.014325878857066657,0.008933777440046628,0.010733345812875376,0.010528259948104373,0.01047406695605408,0.0019895127911252284,0.009499884928161464,0.007636258910194315,0.009125208105211014,0.004809949054434787
XLV,0.00870180650315559,0.008223341997503276,0.008635041217182818,0.008574391033313679,0.007687151392265746,0.009346429891153632,0.008418693006657629,0.007581687349618899,0.00893377744004663,0.012618673358582203,0.00852424026559277,0.008434283826848467,0.009435637896600778,0.0035189821419929425,0.008049409194299535,0.006663863591336462,0.007012044147879091,0.005291157694896144
