,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
ITOT,1.0318036235921248e-05,2.3056776789535443e-06,3.671242897149202e-07,2.9105120182983073e-07,4.0192888002563213e-07,-1.4979560111281803e-06,1.0476645168375414e-05,-2.9110893133078538e-06,1.6090417622928416e-06,8.329478955092378e-06,1.2506147463087944e-05,1.3734543542568118e-05,1.2669427838345508e-05,5.893532298989087e-06,-9.633392242377458e-07,9.16581935038938e-07,2.613989946167933e-06,7.050095253897853e-06
DIA,2.3056776789535443e-06,6.980211351588579e-06,5.581691400604013e-07,8.950103339829555e-07,1.1401629571188939e-06,-5.213302335498279e-06,2.5786209358661344e-06,-6.310187740601753e-06,4.17356403020599e-06,1.0383060389834406e-06,7.535079571379154e-06,6.9470755584807425e-06,5.628549708360418e-06,-5.404428382023437e-06,-7.827244362438971e-06,1.5774339168944663e-06,-1.2341303862900934e-07,-1.8787570253146081e-06
SPY,3.671242897149202e-07,5.581691400604013e-07,6.464262629646237e-07,3.695258549172126e-07,2.1030679355884987e-06,1.440050771994896e-07,9.59255134614723e-07,-1.351310916385958e-08,-1.121204812058809e-07,6.272401627392238e-07,1.9511225439183636e-07,4.1695060222069173e-07,6.729089116126437e-07,7.763965711933285e-07,-2.6730178704158777e-07,-1.4873705923998428e-07,1.335367238470873e-07,1.7469723634371272e-06
XLG,2.9105120182983073e-07,8.950103339829555e-07,3.695258549172126e-07,5.4419817151540105e-06,-1.8436698530776656e-06,-4.728273538739973e-06,-6.759271930947205e-07,-1.687266076764154e-07,-1.1487787752221586e-06,9.833040886131902e-07,-5.862953968333517e-07,-6.184210705872629e-06,4.793669059252614e-06,-5.293068948645898e-06,-7.16374621141499e-06,-2.4971119295923256e-06,-5.927697403366069e-06,-6.510420022185637e-06
AIA,4.0192888002563213e-07,1.1401629571188939e-06,2.1030679355884987e-06,-1.8436698530776656e-06,0.00014431971444635192,0.0001770122522929228,9.126004526247726e-06,1.0864014011753917e-05,-8.245035088948279e-06,-2.3917996020229545e-05,7.420900999486205e-06,2.2770395666031718e-05,1.089916234663641e-05,-7.3209867122458945e-06,0.00010692621994202858,3.582169256252321e-05,2.4778079975507708e-05,-1.0885922546479742e-05
GXC,-1.4979560111281803e-06,-5.213302335498279e-06,1.440050771994896e-07,-4.728273538739973e-06,0.0001770122522929228,0.0003507827050047827,6.735865129731014e-06,2.0662036546969847e-05,-1.0972310694836994e-05,-2.315362906118065e-05,6.1227340203194585e-06,2.292594664326205e-05,8.263059325421642e-06,-8.531756539582569e-06,0.00015691817517671908,4.3582499118139496e-05,2.280551598573073e-05,-1.5609240000716406e-05
XLY,1.0476645168375414e-05,2.5786209358661344e-06,9.59255134614723e-07,-6.759271930947205e-07,9.126004526247726e-06,6.735865129731014e-06,4.910575338148846e-05,-1.225258864310032e-05,4.985389119469204e-06,1.9409991510796106e-06,1.0744986371223786e-05,9.701400992837502e-06,7.3803543474331474e-06,7.486173008748231e-06,-6.517440588655381e-07,7.118802473659844e-07,5.155690546874717e-06,1.217042623888294e-05
XLE,-2.9110893133078538e-06,-6.310187740601753e-06,-1.351310916385958e-08,-1.687266076764154e-07,1.0864014011753917e-05,2.0662036546969847e-05,-1.225258864310032e-05,0.00014956552572591568,-3.8704769190719434e-05,-7.436812083751515e-07,-5.331620904943429e-06,2.595422836134868e-05,-6.266281153773182e-06,1.8427222316924708e-05,3.681476140454267e-05,1.696130385337846e-07,-1.279216145757402e-05,-5.1715137941914415e-06
XLF,1.6090417622928416e-06,4.17356403020599e-06,-1.121204812058809e-07,-1.1487787752221586e-06,-8.245035088948279e-06,-1.0972310694836994e-05,4.985389119469204e-06,-3.8704769190719434e-05,2.7899627626422718e-05,1.4270120793170978e-05,6.894105112220566e-06,4.915014755099691e-07,-2.1101174106338214e-06,-1.6668202824475565e-05,-1.697745317509569e-05,-5.562077196669907e-06,-2.483461490399724e-06,-4.5718039258711596e-06
XLV,8.329478955092378e-06,1.0383060389834406e-06,6.272401627392238e-07,9.833040886131902e-07,-2.3917996020229545e-05,-2.315362906118065e-05,1.9409991510796106e-06,-7.436812083751515e-07,1.4270120793170978e-05,0.00013058139113155827,7.160032290274711e-06,1.0875312057870868e-05,-2.384660634560166e-05,-5.1609613476979355e-06,-3.499769867041971e-05,-4.912206562056344e-06,-1.639460125774812e-05,-7.726942543150328e-06
XLI,1.2506147463087944e-05,7.535079571379154e-06,1.9511225439183636e-07,-5.862953968333517e-07,7.420900999486205e-06,6.1227340203194585e-06,1.0744986371223786e-05,-5.331620904943429e-06,6.894105112220566e-06,7.160032290274711e-06,3.800370343170925e-05,3.6441847349355435e-05,1.7492495137025586e-05,-6.6639173530054985e-06,-2.36710444154856e-06,4.407392019088147e-06,2.9715903578837456e-06,-1.0076046448045684e-05
