date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2018-11-26 00:00:00+00:00,3219264,3435474,79981362.0,27456.0,54278,52837,5853975.0,16682750.0,50168814.0,7141247.0,12896350.0,5357316.0,12534629.0,16101081.0,76081,19671,15396.0,4867490
2018-11-27 00:00:00+00:00,1742869,2932026,75502441.0,26817.0,70322,268303,6026189.0,22264294.0,47174297.0,9261963.0,14431248.0,5871147.0,11538209.0,13183430.0,60328,22141,7770.0,7151480
2018-11-28 00:00:00+00:00,2530688,5132498,127629633.0,18163.0,236731,98078,6341494.0,21148228.0,61375319.0,11870393.0,14139681.0,8531041.0,16609706.0,12062215.0,63369,22566,13306.0,9827693
2018-11-29 00:00:00+00:00,2284429,3471063,82346420.0,27797.0,66361,93068,4975250.0,14414463.0,43664093.0,8796008.0,12997957.0,7138196.0,14115418.0,17489582.0,32993,23796,18116.0,6261896
2018-11-30 00:00:00+00:00,1814851,2991751,98204190.0,48020.0,24926,68757,5671468.0,18129018.0,45435220.0,15875944.0,16428124.0,6058166.0,16509839.0,18166880.0,242360,21112,21322.0,8392075
2018-12-03 00:00:00+00:00,3515556,9519917,103017719.0,16236.0,59059,174082,5994635.0,21994116.0,65330932.0,12158136.0,19551093.0,8574077.0,16231664.0,17906748.0,122383,23112,26257.0,11246181
2018-12-04 00:00:00+00:00,3204555,5376856,177986013.0,24923.0,46333,58416,9708721.0,18296515.0,110918561.0,15011336.0,20580524.0,9045808.0,20991080.0,22267960.0,171539,41814,15757.0,11586470
2018-12-06 00:00:00+00:00,4743239,8232779,204185411.0,37473.0,68734,126103,11161940.0,35356073.0,134687106.0,18492882.0,28326215.0,13225283.0,21578006.0,24697925.0,351649,48185,50858.0,18087964
2018-12-07 00:00:00+00:00,3936518,5963661,161018923.0,43290.0,100394,77255,9345689.0,27445717.0,86740000.0,14930858.0,19238288.0,14026307.0,19937805.0,19729403.0,48230,35195,44241.0,14480656
2018-12-10 00:00:00+00:00,3321676,6020995,151445885.0,130573.0,58403,89366,9898207.0,23382779.0,101121843.0,15372051.0,25360052.0,11664895.0,20447973.0,21148439.0,87560,48623,41152.0,11460587
2018-12-11 00:00:00+00:00,2894542,5646473,121504431.0,50014.0,67186,136744,7964979.0,17241615.0,92308158.0,13632328.0,18475738.0,10071101.0,15813349.0,26093465.0,41977,143011,20917.0,6209065
2018-12-12 00:00:00+00:00,2991838,3734799,97976706.0,37155.0,26294,442017,7186679.0,19267357.0,86748915.0,12581032.0,14776421.0,7450950.0,16928906.0,18297528.0,68008,225346,17934.0,7830354
2018-12-13 00:00:00+00:00,3473730,4455325,96662717.0,61794.0,33228,42844,6108298.0,15298973.0,67232895.0,11567208.0,15917813.0,14628594.0,12819551.0,18072011.0,54650,50086,54132.0,6059721
2018-12-14 00:00:00+00:00,3479296,6591173,116961071.0,27438.0,79402,286377,6138633.0,22893814.0,66817012.0,19422740.0,14806200.0,7979386.0,15516205.0,25155565.0,51452,18532,14046.0,7787878
2018-12-17 00:00:00+00:00,5290143,7036736,165492257.0,77097.0,229807,127343,11928807.0,20732300.0,101180358.0,22089533.0,19796763.0,15251643.0,23263471.0,30210828.0,64413,27709,89948.0,13336861
2018-12-18 00:00:00+00:00,9005244,5349647,134515094.0,27731.0,216283,49591,8688885.0,26616985.0,90844000.0,24712567.0,15665189.0,11682913.0,19626573.0,23635568.0,236296,23359,15041.0,9069271
2018-12-19 00:00:00+00:00,5492962,9545684,214992763.0,86214.0,152462,117708,14030915.0,45548907.0,129331720.0,23075642.0,23553264.0,19700379.0,33606339.0,27928445.0,91209,43816,179229.0,15919244
2018-12-20 00:00:00+00:00,6547028,11912832,252053377.0,156762.0,1043202,54602,17687637.0,38504384.0,107016856.0,25321706.0,25709873.0,23173123.0,39501833.0,39023821.0,108510,55832,36120.0,13771452
2018-12-21 00:00:00+00:00,8038487,10242652,255345633.0,118031.0,157954,88617,13368091.0,37394111.0,118502348.0,28909162.0,28744234.0,20556071.0,41613704.0,35645782.0,95116,74517,50847.0,12539469
2018-12-24 00:00:00+00:00,6904818,7023992,147311588.0,52931.0,65764,62434,8439016.0,15605923.0,71752697.0,14235526.0,15800225.0,11328242.0,21117015.0,22665349.0,72589,51003,16431.0,9458297
2018-12-26 00:00:00+00:00,9377906,9761070,218485360.0,87212.0,102754,73778,11744914.0,29096971.0,108133543.0,20575130.0,17549022.0,17116068.0,29060164.0,30839144.0,353835,55175,31102.0,12387475
2018-12-27 00:00:00+00:00,12260817,7952030,186267342.0,77246.0,301293,300236,10760072.0,24377297.0,98005001.0,14045706.0,13980668.0,14923615.0,23438844.0,29730674.0,91848,69525,27549.0,11498607
