,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
ITOT,0.009127055177814775,0.008638607074091847,0.008957235628750369,0.008892783396587648,0.008603149247254162,0.010260208702925799,0.009289606936531376,0.009903215722995372,0.009710652668953169,0.008676896149776094,0.009422602901594003,0.009423489963654852,0.010557708920044765,0.0032278288919179604,0.009125468380421452,0.007382785195540867,0.008306772863480598,0.005647436648900141
DIA,0.008638607074091847,0.008957623770555995,0.008668234196936669,0.008703508888423375,0.008270512365001606,0.009670437530231045,0.008760731937108896,0.009430239608344422,0.00968157762311381,0.008185243234577911,0.009403076059194557,0.009151422622199383,0.009918302914822503,0.0030601100604955244,0.008377265579271303,0.00708532330243278,0.007884397705017726,0.005171077436403982
SPY,0.008957235628750363,0.008668234196936667,0.008967107474872324,0.008943515063195845,0.008587604757700495,0.010212840097773448,0.009138584965140575,0.009830461604104052,0.009651558036637881,0.008626542035695638,0.009250030384489244,0.009228158503047564,0.010440610411456672,0.0033045835683681176,0.008996665820935152,0.007302743275766393,0.00814676431255515,0.0055547799971868055
XLG,0.00889278339658765,0.008703508888423375,0.008943515063195849,0.009333442295022193,0.008517317847884936,0.010123727365455542,0.009100502722720191,0.009419103155066248,0.009457189857813193,0.008591996195580605,0.008954139822421247,0.008761703160374319,0.010864061196639456,0.0030091399659978794,0.008663485484459535,0.00700784148250458,0.007773847359233941,0.0051842508924752
AIA,0.008603149247254164,0.008270512365001608,0.008587604757700497,0.008517317847884938,0.01620964825461853,0.01828051795747669,0.008996002958159444,0.010272736505050175,0.008916562039464686,0.0074451951299673285,0.009017663457905301,0.009581151576979984,0.010442909444428931,0.00266425114361454,0.012032348872325039,0.008353043586556556,0.009412825239575116,0.005216336262956965
GXC,0.010260208702925799,0.00967043753023105,0.01021284009777345,0.010123727365455543,0.01828051795747669,0.025755670095097175,0.01084637860143385,0.011885586469262306,0.010657462837800483,0.009094250483081663,0.010617945549892444,0.011292940882628144,0.01265493016366372,0.0023481421155859736,0.015149583919154469,0.009698851060885092,0.010956366613068232,0.005937723969993826
XLY,0.009289606936531379,0.008760731937108898,0.009138584965140575,0.009100502722720191,0.008996002958159444,0.010846378601433851,0.01147434522002106,0.009215147392154998,0.009475861932930194,0.008397850365337318,0.009400229530802813,0.009226519802216298,0.010903980374762073,0.0026957732956350913,0.009283544970894564,0.007220684848526165,0.008383693545866818,0.005693680234742514
XLE,0.009903215722995372,0.009430239608344422,0.009830461604104052,0.009419103155066243,0.010272736505050168,0.011885586469262303,0.009215147392154994,0.022412023573853183,0.010408595458583525,0.00791662766634389,0.010477070841380783,0.012260378400716625,0.009898441388337077,0.0031170073561953104,0.011936997799113228,0.00882065279961807,0.010022029791325354,0.005140379675840198
XLF,0.009710652668953169,0.009681577623113809,0.00965155803663788,0.009457189857813192,0.008916562039464684,0.010657462837800483,0.009475861932930194,0.010408595458583527,0.014004974738662959,0.008870927191247992,0.010446918245507517,0.010215712299188169,0.010190328599288647,0.001891470417144337,0.009351652778553326,0.007662808936016198,0.009164257912512281,0.0050122301607290615
XLV,0.008676896149776098,0.008185243234577911,0.008626542035695638,0.008591996195580605,0.007445195129967327,0.009094250483081665,0.008397850365337318,0.007916627666343896,0.008870927191247992,0.012683016394956139,0.008430718598071617,0.008364392421337496,0.009321531787227631,0.0033458579021929708,0.008057359387183558,0.0066903598661133615,0.007104660927649282,0.005428780839817833
XLI,0.009422602901594005,0.009403076059194559,0.009250030384489245,0.00895413982242125,0.009017663457905301,0.010617945549892444,0.00940022953080281,0.010477070841380783,0.010446918245507517,0.008430718598071615,0.011815412691098693,0.010762370512353854,0.010402868644253941,0.0029241811195384023,0.009477718821248083,0.008098890081640959,0.009033161498957727,0.005352817938800137
XLB,0.00942348996365485,0.009151422622199383,0.009228158503047566,0.00876170316037432,0.009581151576979986,0.011292940882628144,0.009226519802216298,0.012260378400716632,0.010215712299188173,0.0083643924213375,0.010762370512353856,0.01393380934731077,0.010224579146687547,0.0029001492757175663,0.010297352170865132,0.00829279620854179,0.009842927602602676,0.005385960966701583
XLK,0.010557708920044769,0.009918302914822505,0.010440610411456672,0.010864061196639454,0.010442909444428931,0.012654930163663718,0.010903980374762073,0.009898441388337079,0.010190328599288648,0.00932153178722763,0.010402868644253941,0.010224579146687545,0.014797183683210438,0.00310329474132565,0.010316442844784411,0.00804043631202235,0.009132413775926803,0.005927089784445334
XLU,0.0032278288919179604,0.003060110060495525,0.003304583568368118,0.00300913996599788,0.0026642511436145394,0.002348142115585974,0.0026957732956350913,0.0031170073561953113,0.0018914704171443374,0.00334585790219297,0.0029241811195384023,0.0029001492757175654,0.0031032947413256497,0.010323825038327955,0.003589657802413146,0.003998848142776614,0.0028264385827773183,0.0061075741892127585
