,INT,MKT,SMB,HML,RMW,CMA
ITOT,-0.00027594324731019414,0.18192132809024286,-0.20148192367340015,-0.9192808000160714,-0.03349596804064914,0.5864571533607609
DIA,5.738866798543932e-05,0.29503969039261,-0.5015316732360964,-0.7290991330431976,-0.23172024082967696,0.5151988119222765
SPY,-0.00025481179609329797,0.265387416428681,-0.3972178703669122,-0.7826184623261307,-0.17113912995040087,0.40264897403045297
XLG,-0.0002606128428505758,0.23134369816931588,-0.34031915829250853,-0.6957138299611861,-0.09477288917665173,0.36630941246242743
AIA,0.0004928060514434954,0.5008861019666021,-0.66809231345049,-0.9382699124769848,-0.35164798399138225,0.08991751038682332
GXC,0.0010089107240143994,0.628652362266034,-1.1530639083096172,-1.4372402720882176,-0.665620241804485,0.5068900447071419
XLY,-7.870910956412551e-05,0.25255109893305994,-0.32627349856650456,-0.7865368562286207,-0.4337996155757373,0.3450048720794302
XLE,-0.00020146782887975502,0.41135289710158274,-0.2147495271087085,-0.979434605331532,-0.37844256539754306,0.1893105623024781
XLF,0.0009569940747284445,0.2909531605017216,-0.45763079631462295,-1.0261752966596496,0.04615790699574589,0.5085701776599754
XLV,-0.000467555911060123,0.09756821211104917,-0.3414305386282188,-0.6860867744886543,-0.004350805996729164,0.6675140217442551
XLI,-6.473328557555189e-05,0.2798760983436941,-0.35010107637856464,-0.6049182842048962,-0.15972233712019068,0.8244028542462453
XLB,3.739129266724247e-05,0.252479100061364,0.08205178817647661,-0.6522422941642486,-0.30785173786210535,0.5765091004375805
XLK,-0.0004446595832943172,0.2536810543470595,-0.2606813713613016,-0.8401006233829392,-0.2876103254311551,0.46483182320322874
XLU,-0.0007423972498513963,0.2688741792191025,-0.2547372181116434,-0.782996199470216,0.0769911846845744,0.7391728529302958
ICLN,-0.0009651098707960697,0.2602931250878774,-0.12676119708707484,-1.281726057628655,-0.37940434314425453,0.11895005508133626
CGW,-0.0005109315914295277,0.24716211741354663,-0.30100807707808486,-0.8565712002507287,-0.24810147348897216,0.4313227322845211
WOOD,-0.0005365871223930298,0.13384823964125045,-0.344234284399369,-0.4574922181344168,0.04621853848147739,0.6171423937609309
IYR,9.408417441495565e-05,0.4451949597986515,-0.4552899457253654,-0.9950120822939964,-0.3889040363943211,0.47742273842873756
F,0.0025464430476620325,0.06380082947401691,0.12294962948695867,-1.3103563199043597,-0.9140116541244061,2.4861754590599117
DIS,0.0009552234122286021,0.3176612388733195,-0.4170116809483822,-1.0454277888164103,0.049338829468041925,0.8024080661883495
MCD,0.0003062509124582162,0.18759115934631101,-0.3563060679532886,-0.2638388109545919,0.04333311198588156,0.01356802254632055
KO,0.0002617566848797691,0.13025558106712687,-0.5371221841665766,-0.5249950985416661,-0.022340834211674755,0.26610794763593326
PEP,-0.00010950313446689844,0.31670378106882857,-0.4485273493680234,-0.4103073807165274,0.039395341946154745,0.6570422976304795
JPM,0.0030639540522535763,0.19351056905878208,-0.6341257914495828,-0.40487614424558377,-0.24410896081704672,0.34453931202816723
AAPL,-0.00045443343638556773,0.09042964109857424,0.21904142160629006,-0.24703980917733803,-0.59089328886065,-0.5247013021017956
PFE,0.00014907451797680613,0.19851062627390992,-0.40722398048204617,-0.8638695606409371,-0.19299340509589832,0.7132999578693763
JNJ,-0.0003417216111357722,0.032779548845259916,-0.29292888954366875,-0.4063895712046843,-0.2404600956177157,0.26317540262474526
ED,-8.714967197187454e-05,0.17752626159022694,-0.39291570003393894,-0.4059949611128071,-0.10059066407112204,0.7770441608485983
