,INT,MKT,SMB,HML,RMW,CMA
ITOT,2.4305856244030365e-05,0.9911557553962611,-0.03164120075146801,4.386865572912545e-09,0.029154904289606758,0.035741118887557974
DIA,-1.0982950574417072e-05,0.9559638271063151,-0.20339675871130397,0.01747448716358598,0.17005392518800536,0.1527349450192081
SPY,1.3697790291328761e-05,0.9916201462512791,-0.1312452176439667,0.005129858313401223,0.03267387351979123,0.025965320256204794
XLG,-1.262255859604532e-06,0.9531747130823437,-0.23631554399058108,0.000951586324345249,0.022440897061573987,-0.10599148060679872
AIA,-0.00020203306734427754,1.0094731912852257,-0.0977033062402658,0.08620520497840573,0.011376432062217078,-0.06732065251041605
GXC,-0.00031927137973506093,1.1114674177175923,-0.06300414514251394,0.09012366259794927,-0.09855385643142718,-0.342780920473831
XLY,0.00015603671973392398,1.0464558985452064,0.033614609301961244,-0.1868685214223705,0.27293782901611763,0.13705828292517533
XLE,-0.00036210978868607424,1.0177602990907573,-0.06061850681905174,0.5158799832093682,-0.5091792217183808,0.3832330543112703
XLF,-1.2932860042092716e-05,1.0682131070303822,-0.1342130450795065,0.804188711269107,-0.36658566318345487,-0.394903465611735
XLV,9.293345408093968e-05,0.8985861355175742,-0.20971055397305174,-0.4586484121168689,-0.14604301584316146,0.13745378102321637
XLI,-7.164956813478378e-05,1.1055644779621288,0.026678392994949066,0.04204348321353774,0.2350808895131352,0.33588987855888136
XLB,-0.00021663174920026563,1.1037498194715227,0.01000122623695567,0.15855600962132524,0.08905341220035964,0.3312853077117608
XLK,9.216848684909404e-05,1.066615890567545,-0.14308700987235845,-0.1571577479679656,0.1161792808352077,-0.4103344387215271
XLU,0.0001607570452586889,0.5766290323273819,-0.2937463996658329,-0.21726733458456712,0.3211260830509211,0.5673850802123779
ICLN,-0.0004998589658054568,1.0757315696596146,0.11191666290619585,0.14053337555596754,-0.2822961960679239,0.019498580528180105
CGW,-7.364195364210126e-06,0.9321655487772554,0.06492242637107812,-0.010031463623037555,0.08955939248797881,0.3424759171457
WOOD,-0.00010124327951828504,1.018966750636454,0.1329885614428839,0.12854021400741428,0.13672523417752416,0.35773100719630985
IYR,2.8777873621306877e-05,0.7883115560580753,0.025289429721346967,-0.2196077754338064,0.16753135613401374,0.5890289793126453
F,-0.00041693235796360294,1.1602871654680147,0.23415651632240347,0.4381832150965832,0.14995623128318217,0.22510433560220977
DIS,8.534648698841797e-05,0.9849588646864382,-0.16947661385214685,-0.12176677711372834,0.16361823437329995,0.36718058423839006
MCD,0.00025103502355639385,0.6346881076586589,-0.22850381982051585,-0.19735543454399748,0.37295654451912125,0.17701158494148078
KO,9.576772306221131e-05,0.694864472328041,-0.3397554084328512,-0.23691418831722605,0.49523490494939004,0.5751406160772728
PEP,0.0002304094904919393,0.6938381694401874,-0.3627508640481291,-0.23690544151545515,0.5604584277721032,0.4654057380566644
JPM,0.0001467598381824658,1.1401219861855398,-0.28039018690232753,1.2259846655928726,-0.690421313947313,-0.7043881160703536
AAPL,0.00014774995274841648,1.056869928586032,-0.11944688642066233,-0.007841715240944767,0.3808579436571958,-1.135650006527944
PFE,-0.00010701855367946822,0.818626745890375,-0.30119620768530514,-0.3525557006198346,-0.10660113270977094,0.4492630981381322
JNJ,-1.8674166664958216e-05,0.7315556693068216,-0.3732518453052078,-0.26665824858318143,0.11771373639709859,0.26938436423579765
ED,0.0001567185905355977,0.476608008913524,-0.3416161463227141,-0.3295893471552161,0.3793292715543584,0.6252215671449742
