,returns
ITOT,0.07585556636973984
DIA,0.07146463280553757
SPY,0.07570261315627698
XLG,0.07422399428817604
AIA,0.05059285462271601
GXC,0.05070293068519104
XLY,0.09994980233975918
XLE,0.02666189552180644
XLF,0.05955895654501456
XLV,0.08967177092778579
XLI,0.07304680251058146
XLB,0.04951622200885581
XLK,0.10040958974288616
XLU,0.06837500557990894
ICLN,-0.01071600756804581
CGW,0.06587132874221063
WOOD,0.05414517608509346
IYR,0.07594591261387623
F,0.06341342495361596
DIS,0.09740734940851867
MCD,0.08627445518301581
KO,0.06113244509080489
PEP,0.06699276889265889
JPM,0.07769748587763795
AAPL,0.1607993083470858
PFE,0.07886203812472067
JNJ,0.07151420737852798
ED,0.07937331230862937
