,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
ITOT,1.1356026171288728e-05,2.507813462318848e-06,3.8602055406230775e-07,3.818982564125704e-07,6.157997199246502e-07,-1.7066416841551194e-06,1.1571308831371451e-05,-3.294263130326947e-06,1.867859592917096e-06,8.873627349959255e-06,1.3646272805905042e-05,1.51214481881659e-05,1.4052202434422808e-05,6.342825080160014e-06,-5.063986776239595e-07,1.0277592696181635e-06,3.0468087614687833e-06,7.4612476522246055e-06
DIA,2.507813462318848e-06,7.718123082416209e-06,5.293227663295212e-07,8.930067571963171e-07,1.7795401007571637e-06,-8.569930310118769e-07,3.1469691310798905e-06,-5.334806492138451e-06,3.941028029421588e-06,4.143339939347776e-07,8.648975758305707e-06,7.827230279986552e-06,6.3540189071872076e-06,-6.508864880813931e-06,-7.429178320456757e-06,9.976495059368266e-07,-6.167325249444364e-07,-3.1281436472205053e-06
SPY,3.8602055406230775e-07,5.293227663295212e-07,6.093904722293394e-07,4.555174153668278e-07,3.0682841764926133e-06,2.1903751386430522e-06,1.083996451844202e-06,1.2110215503975263e-07,-2.610552614896672e-07,6.442948964879067e-07,7.4764691941253e-08,7.853889104137117e-07,6.461128664331565e-07,2.967709123327535e-07,6.73696675982301e-07,-1.269457060893515e-07,4.235486677723331e-08,1.5540906496237465e-06
XLG,3.818982564125704e-07,8.930067571963171e-07,4.555174153668278e-07,5.272638277020762e-06,-1.5067304832505943e-06,-3.981927867602619e-07,1.2813895768097953e-07,2.169941121201134e-06,-2.088641686217403e-06,3.2974366111064906e-07,8.041923636211049e-08,-5.216121619352844e-06,4.833282162757179e-06,-5.604121177671287e-06,-7.531549541079338e-06,-3.05821710003177e-06,-6.786402212194413e-06,-7.1682040780931025e-06
AIA,6.157997199246502e-07,1.7795401007571637e-06,3.0682841764926133e-06,-1.5067304832505943e-06,0.00011459659503446225,9.810776615075902e-05,2.4504442405622633e-06,8.005116523888087e-06,-7.917069291484318e-06,-2.3037835951942342e-05,8.554566368730677e-06,1.8985288669604268e-05,1.5536023820177552e-05,5.296974319273369e-06,6.529765559944781e-05,2.6109795757845872e-05,2.291745688498963e-05,1.555485260902516e-06
GXC,-1.7066416841551194e-06,-8.569930310118769e-07,2.1903751386430522e-06,-3.981927867602619e-07,9.810776615075902e-05,0.00011604356598601648,1.5425049819488677e-06,1.6566873106187945e-05,-9.132559829277855e-06,-1.8123819134146755e-05,5.44537651004679e-06,1.1429521895123435e-05,1.2337088271561775e-05,1.1105154641967205e-05,6.212382068503348e-05,2.158062437463837e-05,1.5914506877889065e-05,6.354016134028833e-06
XLY,1.1571308831371451e-05,3.1469691310798905e-06,1.083996451844202e-06,1.2813895768097953e-07,2.4504442405622633e-06,1.5425049819488677e-06,5.382263041136112e-05,-1.1784582050458748e-05,4.378543248867338e-06,-1.763657642395726e-07,1.111836829534592e-05,8.861106565159488e-06,9.307364731002505e-06,9.0108871272016e-06,-3.2802379973162453e-06,-1.9833217674357193e-06,7.882390906169481e-06,1.603123697027772e-05
XLE,-3.294263130326947e-06,-5.334806492138451e-06,1.2110215503975263e-07,2.169941121201134e-06,8.005116523888087e-06,1.6566873106187945e-05,-1.1784582050458748e-05,0.00014813051798112653,-3.81937992924725e-05,-1.3699480422468093e-06,-6.0432249863049046e-06,2.424590931840111e-05,-5.171873018317281e-06,2.0468253588791897e-05,2.9175218582334857e-05,-3.198469235212689e-06,-1.1364842034469208e-05,-2.6590360440958187e-06
XLF,1.867859592917096e-06,3.941028029421588e-06,-2.610552614896672e-07,-2.088641686217403e-06,-7.917069291484318e-06,-9.132559829277855e-06,4.378543248867338e-06,-3.81937992924725e-05,2.972674145083421e-05,1.5042414998751883e-05,7.528232118725258e-06,2.761570565307495e-06,-1.9510534195899177e-06,-1.9476389509600292e-05,-1.7101566909775062e-05,-5.671019219406747e-06,-4.064003392607742e-06,-6.455543648062293e-06
XLV,8.873627349959255e-06,4.143339939347776e-07,6.442948964879067e-07,3.2974366111064906e-07,-2.3037835951942342e-05,-1.8123819134146755e-05,-1.763657642395726e-07,-1.3699480422468093e-06,1.5042414998751883e-05,0.00014799863658108262,6.889615426282455e-06,1.4507867889181624e-05,-2.7232344273280846e-05,-5.0292771959276e-06,-4.122765557970072e-05,-3.855233749773125e-06,-1.7254159647026425e-05,-1.0602286092044758e-05
XLI,1.3646272805905042e-05,8.648975758305707e-06,7.4764691941253e-08,8.041923636211049e-08,8.554566368730677e-06,5.44537651004679e-06,1.111836829534592e-05,-6.0432249863049046e-06,7.528232118725258e-06,6.889615426282455e-06,4.094284292152442e-05,3.8895282692750034e-05,2.1062488434139996e-05,-7.734161084573876e-06,-2.740034063662071e-06,3.798510326408946e-06,3.874484603070221e-06,-1.1403052677145565e-05
XLB,1.51214481881659e-05,7.827230279986552e-06,7.853889104137117e-07,-5.216121619352844e-06,1.8985288669604268e-05,1.1429521895123435e-05,8.861106565159488e-06,2.424590931840111e-05,2.761570565307495e-06,1.4507867889181624e-05,3.8895282692750034e-05,0.00011824826346479586,1.653821391025793e-05,-7.614815401040597e-06,4.311409708390974e-06,2.2761319173213124e-06,1.837157127842972e-05,-1.387834714526584e-05
XLK,1.4052202434422808e-05,6.3540189071872076e-06,6.461128664331565e-07,4.833282162757179e-06,1.5536023820177552e-05,1.2337088271561775e-05,9.307364731002505e-06,-5.171873018317281e-06,-1.9510534195899177e-06,-2.7232344273280846e-05,2.1062488434139996e-05,1.653821391025793e-05,6.932595190050019e-05,-4.070241491662977e-06,7.517923770795845e-06,1.4511025488018373e-06,6.152228025069767e-06,-3.2114901913567637e-06
XLU,6.342825080160014e-06,-6.508864880813931e-06,2.967709123327535e-07,-5.604121177671287e-06,5.296974319273369e-06,1.1105154641967205e-05,9.0108871272016e-06,2.0468253588791897e-05,-1.9476389509600292e-05,-5.0292771959276e-06,-7.734161084573876e-06,-7.614815401040597e-06,-4.070241491662977e-06,9.426812066974155e-05,3.741947868305168e-05,8.254434093205239e-06,7.939845137239762e-06,6.416650132023029e-05
ICLN,-5.063986776239595e-07,-7.429178320456757e-06,6.73696675982301e-07,-7.531549541079338e-06,6.529765559944781e-05,6.212382068503348e-05,-3.2802379973162453e-06,2.9175218582334857e-05,-1.7101566909775062e-05,-4.122765557970072e-05,-2.740034063662071e-06,4.311409708390974e-06,7.517923770795845e-06,3.741947868305168e-05,0.00015542495587511903,3.392627095283409e-05,4.613541204043056e-05,3.755741777361906e-05
CGW,1.0277592696181635e-06,9.976495059368266e-07,-1.269457060893515e-07,-3.05821710003177e-06,2.6109795757845872e-05,2.158062437463837e-05,-1.9833217674357193e-06,-3.198469235212689e-06,-5.671019219406747e-06,-3.855233749773125e-06,3.798510326408946e-06,2.2761319173213124e-06,1.4511025488018373e-06,8.254434093205239e-06,3.392627095283409e-05,6.542015034986123e-05,1.150438896971972e-05,5.574062634892666e-06
