,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
ITOT,3.042695251370378e-07,4.5327849744871154e-08,1.3496163303588305e-07,8.514979497233517e-08,4.573895545403781e-08,-1.2289354662575285e-07,-1.215851654465342e-07,-1.0455841033200616e-07,5.764937991178334e-08,4.032905483349799e-07,-4.906225539845951e-09,-4.262731186090015e-08,2.843151658094484e-08,8.452186503608352e-07,-8.785503546301462e-08,3.708744467038796e-07,2.4030695125763223e-07,1.4156679298231312e-06
DIA,4.5327849744871154e-08,3.465294850721886e-06,2.0738340779753932e-07,6.592324531664209e-07,9.973714642778552e-08,-6.047493373089868e-07,-2.2765004927198243e-07,-1.7115050488435558e-06,1.2918912871918395e-06,5.253884988627735e-07,2.154752947198761e-06,4.279180673003132e-07,-3.6944398344957126e-07,-1.1982285916308738e-06,-9.452398495789932e-07,4.796756989736857e-08,-1.589480365910037e-08,-4.1954342974340287e-07
SPY,1.3496163303588305e-07,2.0738340779753932e-07,2.64975705296394e-07,2.206060298198276e-07,3.069558651099838e-08,-2.3586464058606775e-07,-2.0071977572208245e-07,-1.021067278741932e-07,9.302219784701453e-08,6.613327055933822e-07,-8.176913474832866e-09,4.7625689458701245e-08,8.315179345159549e-08,9.87054235600657e-07,-9.312201045554463e-08,2.955055145149954e-07,9.32253077310563e-08,1.1109796283358247e-06
XLG,8.514979497233517e-08,6.592324531664209e-07,2.206060298198276e-07,2.3843547902458442e-06,2.3170234438392874e-07,-3.2694554818987694e-07,-4.7483914213067155e-07,-4.80676666429428e-07,-4.348865637659986e-08,1.5923484634015039e-07,-1.0888150273406553e-06,-1.3755321818169154e-06,1.7763712228173388e-06,-1.1705841492470275e-06,-5.946443984546303e-07,-5.591083206381949e-07,-4.839326507344171e-07,-6.334131237127054e-07
AIA,4.573895545403781e-08,9.973714642778552e-08,3.069558651099838e-08,2.3170234438392874e-07,5.398315753566582e-05,5.846809752915427e-05,8.838561945894648e-07,4.90096442021677e-06,-2.109224870074228e-06,-2.9706229389644783e-06,5.407810339654386e-07,4.675792544454266e-06,2.3669305734329054e-06,-3.379316650388689e-06,2.0735100983334417e-05,8.729867438315177e-06,1.0479208965816252e-05,1.1577351757583891e-07
GXC,-1.2289354662575285e-07,-6.047493373089868e-07,-2.3586464058606775e-07,-3.2694554818987694e-07,5.846809752915427e-05,0.00010071022552978921,1.5667557982017602e-06,4.447538209106781e-06,-1.984586958079606e-06,-4.664366572949094e-06,6.048742849044684e-07,6.10253674673381e-06,3.5302605786995508e-06,-9.341448679450113e-06,3.1572290884572006e-05,9.52295888533688e-06,1.1453253311806322e-05,-2.0429975378150435e-06
XLY,-1.215851654465342e-07,-2.2765004927198243e-07,-2.0071977572208245e-07,-4.7483914213067155e-07,8.838561945894648e-07,1.5667557982017602e-06,1.0159950248403024e-05,-1.2504780902943343e-06,5.319074332549099e-07,-3.1172175769960343e-06,-1.249119934660737e-06,-1.0024775620668288e-06,-1.5934252742198036e-06,-4.868035872988643e-06,-6.797119252055818e-08,-1.7444129103039343e-06,-2.3067706834530413e-07,-1.086837787920727e-06
XLE,-1.0455841033200616e-07,-1.7115050488435558e-06,-1.021067278741932e-07,-4.80676666429428e-07,4.90096442021677e-06,4.447538209106781e-06,-1.2504780902943343e-06,5.3338997846103356e-05,-1.3901744415917253e-05,-5.1054015039857154e-06,-1.8128092655384964e-06,6.3544998953927735e-06,-1.0639074295823909e-06,-1.1977601093457752e-06,7.389283061973025e-06,1.840418834851991e-06,1.5700999737027708e-06,-3.760471400875594e-06
XLF,5.764937991178334e-08,1.2918912871918395e-06,9.302219784701453e-08,-4.348865637659986e-08,-2.109224870074228e-06,-1.984586958079606e-06,5.319074332549099e-07,-1.3901744415917253e-05,1.0588917806301165e-05,1.9907558878411904e-06,7.960546790212555e-07,-3.0014567479725292e-06,-2.1738710622314224e-06,-5.286626426756952e-06,-2.956483576219366e-06,-1.9885898231157385e-06,-6.182689696367461e-07,-5.87933541268784e-07
XLV,4.032905483349799e-07,5.253884988627735e-07,6.613327055933822e-07,1.5923484634015039e-07,-2.9706229389644783e-06,-4.664366572949094e-06,-3.1172175769960343e-06,-5.1054015039857154e-06,1.9907558878411904e-06,1.8726606769231068e-05,-1.7811273189925744e-06,-2.611007132903815e-06,-5.852588519853512e-06,2.595830929037684e-06,-1.1628039116275676e-06,-6.936878329541355e-07,-1.3966364215862368e-06,1.702233741668911e-06
XLI,-4.906225539845951e-09,2.154752947198761e-06,-8.176913474832866e-09,-1.0888150273406553e-06,5.407810339654386e-07,6.048742849044684e-07,-1.249119934660737e-06,-1.8128092655384964e-06,7.960546790212555e-07,-1.7811273189925744e-06,1.2180311757084676e-05,3.6816393905349e-06,-1.4873435677071343e-06,-3.081516678158012e-06,1.0151355333954916e-06,2.2700731161669074e-06,1.4633929505621278e-06,-2.1865996035290838e-06
XLB,-4.262731186090015e-08,4.279180673003132e-07,4.7625689458701245e-08,-1.3755321818169154e-06,4.675792544454266e-06,6.10253674673381e-06,-1.0024775620668288e-06,6.3544998953927735e-06,-3.0014567479725292e-06,-2.611007132903815e-06,3.6816393905349e-06,2.2245115208471226e-05,-5.392179533768674e-07,-2.9146620433569514e-06,5.352511298923359e-06,3.42804421601383e-06,6.4538827027123525e-06,-1.2909857139703713e-06
XLK,2.843151658094484e-08,-3.6944398344957126e-07,8.315179345159549e-08,1.7763712228173388e-06,2.3669305734329054e-06,3.5302605786995508e-06,-1.5934252742198036e-06,-1.0639074295823909e-06,-2.1738710622314224e-06,-5.852588519853512e-06,-1.4873435677071343e-06,-5.392179533768674e-07,9.761363753478117e-06,-3.9077794556442564e-06,-9.864711237230296e-07,-1.073550796081567e-06,2.5374157622673044e-07,-2.7623301027948667e-06
XLU,8.452186503608352e-07,-1.1982285916308738e-06,9.87054235600657e-07,-1.1705841492470275e-06,-3.379316650388689e-06,-9.341448679450113e-06,-4.868035872988643e-06,-1.1977601093457752e-06,-5.286626426756952e-06,2.595830929037684e-06,-3.081516678158012e-06,-2.9146620433569514e-06,-3.9077794556442564e-06,5.8310297573233716e-05,1.99248572493507e-06,1.0180473218268566e-05,7.350088392647184e-07,2.4562877984198056e-05
ICLN,-8.785503546301462e-08,-9.452398495789932e-07,-9.312201045554463e-08,-5.946443984546303e-07,2.0735100983334417e-05,3.1572290884572006e-05,-6.797119252055818e-08,7.389283061973025e-06,-2.956483576219366e-06,-1.1628039116275676e-06,1.0151355333954916e-06,5.352511298923359e-06,-9.864711237230296e-07,1.99248572493507e-06,7.231593905939525e-05,1.1700745435603994e-05,8.092856175821126e-06,2.4994114457790743e-06
CGW,3.708744467038796e-07,4.796756989736857e-08,2.955055145149954e-07,-5.591083206381949e-07,8.729867438315177e-06,9.52295888533688e-06,-1.7444129103039343e-06,1.840418834851991e-06,-1.9885898231157385e-06,-6.936878329541355e-07,2.2700731161669074e-06,3.42804421601383e-06,-1.073550796081567e-06,1.0180473218268566e-05,1.1700745435603994e-05,1.808584892029465e-05,7.5665111731615665e-06,6.557525239008817e-06
WOOD,2.4030695125763223e-07,-1.589480365910037e-08,9.32253077310563e-08,-4.839326507344171e-07,1.0479208965816252e-05,1.1453253311806322e-05,-2.3067706834530413e-07,1.5700999737027708e-06,-6.182689696367461e-07,-1.3966364215862368e-06,1.4633929505621278e-06,6.4538827027123525e-06,2.5374157622673044e-07,7.350088392647184e-07,8.092856175821126e-06,7.5665111731615665e-06,3.6157036695447285e-05,4.52578440434639e-06
IYR,1.4156679298231312e-06,-4.1954342974340287e-07,1.1109796283358247e-06,-6.334131237127054e-07,1.1577351757583891e-07,-2.0429975378150435e-06,-1.086837787920727e-06,-3.760471400875594e-06,-5.87933541268784e-07,1.702233741668911e-06,-2.1865996035290838e-06,-1.2909857139703713e-06,-2.7623301027948667e-06,2.4562877984198056e-05,2.4994114457790743e-06,6.557525239008817e-06,4.52578440434639e-06,3.849041635877625e-05
