,INT,MKT,SMB,HML,RMW,CMA
ITOT,3.78631066505456e-05,0.9845965721136241,-0.03233823009258094,0.00010325107673733863,0.03274067652426828,0.032746185550498935
DIA,1.723949594594647e-05,0.9876131803264996,-0.2039787598332408,0.05850411603768343,0.1203518159867393,0.15941092153411893
SPY,2.7411846435874115e-05,0.9862824165026408,-0.1283092460013177,-0.00709649606891357,0.034801356638307475,0.04063763996891108
XLG,-6.440499472333753e-07,0.9641421504586859,-0.23729856060966065,-0.014464199240452136,0.013881146787732588,-0.11736560962076259
AIA,-8.385503379376377e-05,0.9987584817267982,-0.05391545082051383,0.01503480976623822,0.045367540466090636,0.03144703072999757
GXC,-8.981992178235439e-05,1.1661578261841161,-0.011958187079892647,-0.0010258158271754273,-0.07627790089430844,-0.1773119154850934
XLY,6.877339679460272e-05,1.0094622964617517,0.037641443856120234,-0.15708541545606813,0.2855800823679155,-0.01353309814574225
XLE,-0.00021451290632339506,1.1141183124973684,-0.05228529637101048,0.45379540176729083,-0.7605593987867271,0.9088936427954389
XLF,3.0004354354238954e-05,1.0475508815035333,-0.10602409747129715,0.8506875477731902,-0.27583608392901704,-0.5056061887037261
XLV,6.676786554300234e-05,0.9162193460987144,-0.18216358397362892,-0.4341835090285014,-0.2214368196992287,0.16963724444452508
XLI,-2.7091317183539825e-05,1.0859321953069545,0.017463694335476728,0.05264751002958909,0.24874325274505407,0.3831866091153696
XLB,-0.0001065736569511445,1.0830018464740307,0.011228262415238697,0.13250056334917992,0.05766038321291935,0.46439993188831485
XLK,0.00013559948617179667,1.0930607357510356,-0.1780379592775651,-0.1763595801066783,0.1455680121229755,-0.4672659417117882
XLU,0.00026157207730227364,0.45009224976717443,-0.31305535333798895,-0.3030875753168056,0.36853039332167753,0.6019431156365861
ICLN,-0.00012560528607402974,1.0079686274052457,0.12552917294275032,-0.0353954910996207,-0.2824588253684154,0.24404273958005088
CGW,6.157080356090319e-06,0.8475304756782986,0.04881595710025968,-0.0869387141913709,0.10331663082387228,0.4477247248343079
WOOD,-1.2048913662624662e-06,0.926883499150408,0.1989710651452021,0.10761723493102861,0.18923234537053105,0.31289831093473236
IYR,0.0002146779353850366,0.6357262740924807,-0.007776477793449093,-0.3556488899102229,0.3281629560291134,0.569443268462419
